Ulasan,Sentimen,Deteksi_Bahasa
bagus fungsi baik segi suara neutral to bright sedikit mic aman cuman kendala kirim gatau jne seller alamat say,positif,id
bagus fungsi baik hubung dac iphone lightning cuman kendala kirim gatau jne seller alamat tulis no,positif,id
asa upgrade banget gue awam audio biasa pake tws fittingnya enak bikin kuping sakit dipake lama,positif,id
kualitas cable suara clear better shielding,positif,id
kualitas produk sangat baik,positif,id
respon toko cepat kirim cepat barang terima ada baik,positif,id
barang fungsi normal respon kirim cepat,positif,id
barang terima kirain po nya bulan mei nyata barangnyabarang coba,positif,id
mantap kirim lebih cepat lama po kira singkat tws murni buat mau fokus dengar musik utama lagu pop jadul rock jazz vocal c,positif,id
toko packing aman tws nya desain case nya cakep suara oke,positif,id
mantap akhir coba produk moondrop kesan awal moondrop banget mah wkwkw kurang paling bagi anc nya kes gimmick aja gapapa tau harga,positif,id
barang bagus seller ramah sabar kualitas suara bagus balance terlalu bnyk treble,positif,id
bagus bangat,positif,id
packing nya aman fungsi baik sesuai expetasi anc nya lumayan overall worth it banget,positif,id
dsp nya plug and play hp android windows earphone nya ringan fit nya pas kuping app nya equalizer bawa manual setting nya tersimpa,positif,id
mangstabs clean smooth detail separasi tipe ak jenis player pakai tube solid state hybrid lebih baik beli nyesel beli,positif,id
barang sesuai deskripsi,positif,id
fungsi baik pakai 1 bulan masalah sama sekali,positif,id
layan mantap respon cepat sempat kendala bantu sangat baik very recommended seller,positif,id
kayak salah kasih review bagi casing dap ntah bingung bedain nya kalo hape pokok intium the best barang nya bagus ntah casing ntah,positif,id
layan luar biasa kualitas barang nya top abis dap kelas medium kualitas high end ngadu sama desktop setup lebih mahal blind buy,positif,id
suara bagus layan cepat komentar kalau misal nge chat no resi jangan lupa salam kenal dulu,positif,id
selamat coba moga mantap,positif,id
alhamdulillah selamat sampe tuju moga awet,positif,id
barang original garansi resmi kirim cepat jual responsive,positif,id
pertama kali punya iem puas sama kualitas suara dengar detil,positif,id
headphone bt rumah sound quality buat bt headphone range 4jtan si bagus baget paling minus low bass deep mas harga seginimusik edm mas dape,positif,id
suara luas detil resolusi top musical tecnical top bloetooth nya top banget beda jauh colok usb recommended,positif,id
kualitas original look nya elegan,positif,id
mantap dah walaupun kirim jne lama parah mau lebaran,positif,id
ukir liat kesan mewah liat warna hitam kalau pegang memang rasa mewah mahal kaum dang mending kolektor,positif,id
buat usb audio mobil chery omoda e5 udah test connect buat laptop hp aman suara ubah kalau colok langsung sumber lebih ti,positif,id
seperti kokoh bahan 90 aluminum kaki2 buat nahan hp bagai goyang saran kalau anak2 rumah gampang copot keluar kaki2nya sistem,positif,id
packing aman barang sesuai terang paired baik,positif,id
harga standar kualitas bagus fungsi normal produk sesuai kondisi sesuai,positif,id
pesan sesuai terima cepat,positif,id
kondisi baik aman tuju kualitas sesuai deskripsi,positif,id
yak sesuai harap mic nya sangat bagus,positif,id
barang aman coba sebentar puas barang sesuai ekpektasi nonton reviewnya makasih banyak,positif,id
barang sesuai iklan packing baik lengkap kirim cepet recommended,positif,id
packing aman mantap suara,positif,id
mantap pol mes cuma kabel pendek banget,positif,id
mantap abis upgrade trn orca may asa banget beda pertama kali pake iem mahal wkwk jelas beda soundstage lebih luas tonal,positif,id
kualitas harga rekomendasi cari tws under 500rb respon toko cepat cocok jadi langgan mantap,positif,id
bagus sesuai,positif,id
barang terima baik kirim cepat fast respon seller nya barang original kualitas produk sangat baik mudah guna sedang standby a,positif,id
packing aman kirim cepat barang fungsi baik,positif,id
kirim sangat cepat barang sesuai ekspektasi,positif,id
sempet khawatir paket lusuh mungkin pihak ekspedisi pas unboxing barang aman cacat sesuai pesan bukti packaging nya jempo,positif,id
lihat bagus estetik lumayan buat kabel pawer dongle dacamp pc,positif,id
mantap sangat estetik geser base nya sesuai lubang,positif,id
barang sesuai pesan fungsi baik sesuai spek harga sangat kompetitif packing deliverynya,positif,id
barang sesuai pesan fungsi baik harga sangat kompetitif packing deliverynya baik,positif,id
njir kayak ekspetasi terlalu tinggi buat kabel dsp nya wkwka first impression pas pake may tuningan warm mendem semua cuma bass nya gede banget aseli bah,positif,id
kirim super cepet packaging aman paling penting barang mas bagus mulusss,positif,id
packing rapih produk bagus sesuai harap,positif,id
barang fungsi baik kualitas suara bagus,positif,id
puas layan toko gercep banget mantap dah,positif,id
unit mantap cuma gbs connect apps bukan salah seller kalo seller mah lebih responsif satset tbtb besok udah sampe,positif,id
responnya cepat barang aman tuju recommended seller pokok,positif,id
packing aman lengkap sesuai kualitas suara baik terima kasih,positif,id
barang sesuai deskripsi,positif,id
mantap bukan cuma wangi nama may beneran all round dapat pribadi kalo pake eartips bawa bassnya beneran gede bukan basshead sih,positif,id
worth it sih biasa pakai dfi ganti jauub banget beda,positif,id
barang sesuai pesan fungsi baik harga sangat kompetitif packing deliverynya,positif,id
bening power lebih gede space travel,positif,id
smsl rada ugalugalan mah smsl su1 rupa produk lowend suara hampir sama d6 2x lebih mahal kalau dengar kilas karakter dac i,positif,id
kualitas suara sesuai ekspektasi cocok profile,positif,id
kirim cepat bungkus rapi tes jalan baik,positif,id
kualitas bahan jempol suara nya no debat,positif,id
suara warmth clear best,positif,id
safely arrived gg mantap bg memang nyari iem level entry,positif,id
kualitas bagus kirim cepat packaging bagus tebal fitur anc sangat mantap suara jernih suara cukup sayang mungkin bagi orang rasa,positif,id
barang fungsi baik packing super aman kirim super cepat pake drama2 kurir,positif,id
suara jernih benerr koneknya gampang the best thankyou,positif,id
respon cepat berang sesuai deskripsi,positif,id
barang sesuai deskripsi,positif,id
powernya mantap semua iem nerd rapat,positif,id
lumayan 400k anc samarsamar bawah ath anc23,positif,id
gaming dac cocok buat repot mic external krna port mic mantap splitter paket suara mantap lah sesuai knob bass treble menyesu,positif,id
produk fungsi baik kualitas audio oke,positif,id
seller fast respond kirim barang cepat baranf sesuai deskripsi,positif,id
bahan metal bass impactnya sih,positif,id
6 pair size m bahan lembut nyaman telinga,positif,id
packing aman rapisemua fungsi baiksesuai pesan,positif,id
oke jadi begini cara pairing android yaaa iapple ldac tws isi 2 modul koneksi bluetooth primer kandung sbc aac ldac cara ko,positif,id
suara mantap packing aman kirim cepat,positif,id
memang salah pilih may banyak bandingin sama sonusdll buat hp jack 35mm ribet suara suka vocal lebih pilih sonus may menu,positif,id
terima kasih gan sekarang casenya bahan tebal cute,positif,id
penasaran nyobain tws budget salah satu mpu per iem an hasil kecewa bass lebih cukup se akurat ariaya iya wkkwkw treble cukup deh,positif,id
mantap beli dua kali eh tiga kali deng toko terima kasih,positif,id
baik respon sama kirim oke saran packaging depan mohon usaha lebih aman,positif,id
paket terima baik sesuai pesan layan sangat baik proses kirim cepat kualitas produk bagus moga awet mudah klaim garansi bi,positif,id
barang original garansi resmi kirim lama packaging rusak suka kotak kualitas barang rusak bagus akhir tas pou,positif,id
mantap value bass nampol selera kurang high freq,positif,id
barang original mudah pasang gambar bagus,positif,id
packing cukup tebal aman barang elektronik box twsnya jaga aman cacat kondisi tws fungsi baik normal charging case atau twsny,positif,id
desain bagus kualitas bagus,positif,id
review chu 2 benar ada iem 400rban build quality full metal berat kokoh suara bagus saing iem kelas diatasny,positif,id
udah pernah punya putih skrg mau beli warna hitamseller sigap kirim standar jne lah,positif,id
paket smenunggu lama pesan minggu malam baru jumat siang paket aman bungkus bubble warp tipis tipis barang original lengkap biasa,positif,id
terima kasih gan telinga aja gua kurang nyaman suara gua sih standar lah cuman model aja bagus,positif,id
usah ragu2 lah beli aja bener2 mantap,positif,id
barang selamat kirim cepat produk baik harga,positif,id
barang belum coba moga bagus kendala,positif,id
suara bagus karakter warm casingnya sangat premium berat kurang utama kabel mau lurus,positif,id
suara bagus kompatibel iem guna 2 pin connector jauh dengar noise,positif,id
keren kerencuman appsnya banget suara oke lah,positif,id
bagus produk unik ringan dengar casual udah cukup kualiatas suara,positif,id
barang baik,positif,id
suara khas moondrop vokal maju bass lebih sub bass lumayan,positif,id
barang bagus aman meski packingan bubble wrap chu2 nya bagus baru nyoba iem paling tinggal ganti eartips aja,positif,id
kualitas produk sangat baik barang original mudah guna mantap euy,positif,id
respon seller sangat cepat beli sore langsung kirim sempat kendala kurir tuning suara khas moondrop cocok vocal lover bassnya cukup,positif,id
barang bagus sesuai,positif,id
harga boong sih original fullset packing aman rapi tentu kualitas suara minus engiriman expedisi jne aja sih lama 2 hari status br,positif,id
barang bagus suara enak tenan sayang sillica gel pecah jadi beranta,positif,id
seller gercep kirim sat set material nya solid banget logam berat eq kurang fungsi boosting dikit aja dah peak flat ny,positif,id
barang selamat packing rapih,positif,id
packing rapi pake banget minimal lindungin paket baik chat sangat bagus responnya,positif,id
design suka lebih kecil kira simple praktis suara ngomomg teknis kareana awam pasti power nambah suara si jvc truth,positif,id
barang selamat model keren suara clear bass nya kurang,positif,id
iemnya fungsi baik kualitas suara sangat bagus kirim cepat terima kondisi sangat baik,positif,id
mantap barang udah sesuai pesan semua fitur guna baik lecet kirim nya cukup cepat,positif,id
headsetnya bagus banget ancnya mmg kedapkedap 400rb kira cukup kualitas suara beneran bagus sangat worth it,positif,id
mantap seperti cocok semua perangkat android cocok buat dap puter mau dap nya taro meja,positif,id
serasa cema game sangat recomended paling penting suaranta mantap,positif,id
kirim cepat barang bagus,positif,id
luar biasa layan komunikasi baik kirim cepat barang nya sangat bagus rekomendasi sekali,positif,id
usai ekspektasi barang 100 original kirim cepat respon seller sangat baik bantu worth ur trust belanja sini,positif,id
fungsi baik gila kirim cuma hari padahal pake reguler bukan next day,positif,id
barang top garansi resmi kirim super cepat,positif,id
elegannn jadi makin mewah proteksi jual ramah sat set,positif,id
barang dlm ada aman,positif,id
deep test overall packaging nya muas gada penyok box sama sekaliseller top barang top artwork top markotop,positif,id
kualitas suara oke lebh bagus eggel quietbud anc lumayan lah cuma material bahan plastik tipis rentan rusak,positif,id
kirim cepat packaging rapih barang sesuai,positif,id
mantap min,positif,id
oke build quality lihat bagus enak pegang body socketnya sedikit lebih panjang jadi sulit bongkar pasang kabel usb pc,positif,id
butuh dac dada dac lama topping d30 mati caricari internet akhir coba dac merek banding d30 fiio k7 jauh lebih detail ma,positif,id
walah mantap banget sih kirim kilat masak jakarta kalimantan cuma 2 hari aja hehe bintang 10 deh,positif,id
fungsi baik cacat barang sangat sesuai kuping sesuai preferensi,positif,id
sor moga suara bagus pckingannya bagus aman,positif,id
lupa kasih review barang oke so far sampe 2bulan fungsi sangat normal thanks,positif,id
barang bagus ancnya harga gin oke sih waktu konek putus koneksi twsnya suara anime gitu buat wibu cocok sih overall oke sih,positif,id
barang sangat bagus fungsi po cepat kirim cepat fitur fungsi semua,positif,id
mantap cuma laku orang orang mau beli langsung ganti eartips overall mantap sih,positif,id
suara hasil jernih produk fungsi baik barang original,positif,id
toko bagus minta next day beneran sampe next day lalu kurang produk sendiri tuh gajelas cara game mode kagak enak pasang telinga bentuk,positif,id
darat selamat po nya cepat seller responsive barang kecewa thank you leather case nya keren,positif,id
kirim cepet banget soal seller ter gercep inih maaf tlat reveiw baru sempet barang 100 original kendala samasekali terimakasih,positif,id
fisik seluruh istimewa suara nada rendah kurang nendang midle high oke,positif,id
packingnya aman rapi datengnya lebih cepet estimasi padahal kirim antar pulau pokok overall mantap hehe akhir upgrade iem,positif,id
puas belanja toko sesuai deskripsi packingan mantap,positif,id
packaging sangat bagus,positif,id
gacor sekali 2 hari langsung sampeee,positif,id
proses pesan cepat artwork keren moga awet,positif,id
puas senang belanja toko sesuai deskripsi packingan super rapi,positif,id
enak warm fun sound jadi headphone utama sekarang,positif,id
sangat worth it harga 400 ribu power lumayan teknikalitasnya bagus lebih angkat potensi iem memboost semua frekuensi lebih keluar lebih,positif,id
kualitas suara baik sayang aplikasi nya lengkap sleep timer equaliser respon jual baik,positif,id
barang original kualitas bagus,positif,id
paket aman seler responsif rekomended seller produk suara terlalu over 3 sertingan cocok buat tmn tmn suka dengar suara instrumen,positif,id
barang original packing bubble wrap berlapislapis istimewa respon seller cepat langsung kirim hari padahal checkoutnya mepet auto bintang 5 barang o,positif,id
packing rapi aman barang top kualitas bagus,positif,id
packaging amanrespon seller bagus kualitas barang sesuai review ytmakasih y,positif,id
barang original suara jernih desain modern material premium proses pesan cepat value for money,positif,id
barang aman cepat mantap,positif,id
barang bagus sesuai pesan seller nya ramah coba pakai fungsi baik rusak,positif,id
barang bagus cacat cuma kirim burik banget emang jne kampret lah mending pake kirim lain,positif,id
packingnya safety suka produk tambah box gambar lucu ohya asik si dapet pouch kecil coba tes suara sofar,positif,id
toko online luar biasa layan cepat produk kualitas tinggi,positif,id
suara hasil jernih mudah guna,positif,id
mantap power sangat luar biasa suara cukup beri tebal low mid iem tanchjim zero jadi asa lebih tebal sedikit satu khawatir,positif,id
barang nya original puas banget fitur anc nya,positif,id
jujur packagingnya mantap aman barang sesuai deskripsi guna normal admin baik responnya cepat kualitas suara bagus bassnya dapet po,positif,id
po nya 20 hari eh tau2 2 hari udh nyampe packing rapi top mantap deh tinggal test aja,positif,id
kualitas produk sangat baik intium selalu mantap,positif,id
nyaman pakai lama material premium suara gurih,positif,id
kualitas produk sangat baik barang original,positif,id
fiio k9 salah satu best value for money high end dac amplifier combo suaramya sangat jernih netral,positif,id
barang sesuai deskripsi fungsi baik respon jual sangat cepat recommended product,positif,id
baik mantap mantap kabel lentur cocok buat ganti iem 2 pin model over ear iem udah buluk maksimal penting awet moga kabel nya awet hehe,positif,id
