Nama,Tipe Barang,Varian Barang,Ulasan,Rating,Tanggal
Farago,Moondrop Space Travel True Wireless TWS Earphone Bluetooth 5.3,Varian: White,"pengiriman cepat 1 hari sampai,suaranya juga clear pas vol nya di max g maksa suaranya,anc nya buat harga 400 juga udh enak.
One of the tws yg worth it lah buat harganya...",5,1 minggu lalu
M***d,Moondrop MAY DSP Dynamic Driver + Planar Driver In-Ear Headphone,Varian barang tidak ditemukan,may adl solusi bagi yg pengen end game di harga sejutaan 😆 ga ribet banyak fitur di aplikasinya,5,1 minggu lalu
W***s,FiiO MAGCLIP Magnetice Bundling Kit for FiiO USB dongle KA17/KA13/KA5/KA3/KA2/KA1,Varian barang tidak ditemukan,"Lumayan lah, walaupun tidak serapih Dignis.",5,1 minggu lalu
Andri,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Black,mantap,5,1 minggu lalu
W***n,FiiO LT-LT2 silver-plated copper Lightning to Type-C Data Cable to Connect iOS Devices with USB-C DAC / AMP (10cm),Varian barang tidak ditemukan,"Admin fast response dan bantu proses cepat. Barang dtg kondisi baik, dan bekerja dgn baik jg. Bisa untuk konek dgn moondrop dawn pro",5,1 minggu lalu
Fachrurrazie,Moondrop CDSP New Online Interactive DSP USB-C earphone Upgrade Cable,Varian barang tidak ditemukan,Mantap kelengkapan kotak dan link download berupa QR ada kartu garansi juga. overall tinggal colok USB C bisa langsung gas,5,1 minggu lalu
R***o,Moondrop Quark2 / Quark 2 / Quark-2 / Quark II | Hi-Fi USB-C Micro Dynamic Driver In-ear Headphones,Varian barang tidak ditemukan,Barang sudah mendarat,5,1 minggu lalu
W***m,DD ddHiFi TC44C USB-C / Lightning DAC Amp with 4.4mm & 3.5mm Outputs,Varian: USB-C,"Jempol utk intium store, packing aman.
Ukuran dongle lbh kecil dari perkiraan 👍",5,1 minggu lalu
T***y,FiiO MAGCLIP Magnetice Bundling Kit for FiiO USB dongle KA17/KA13/KA5/KA3/KA2/KA1,Varian barang tidak ditemukan,Cuku kuat dan material bagus,5,1 minggu lalu
Abednego,Cayin RU7 / RU-7 Portable USB DAC Dongle,Varian barang tidak ditemukan,"nice seller, good product, thanks!☺",5,1 minggu lalu
M***d,FiiO MAGCLIP Magnetice Bundling Kit for FiiO USB dongle KA17/KA13/KA5/KA3/KA2/KA1,Varian barang tidak ditemukan,"BAGUST👍👍!!! Kualitas barang sangat baik, magnet melekat sangat kuat pada casing magsafe dan tidak gampang goyang dan juga dapat banyak karet cadangan. Seller juga top d...",5,1 minggu lalu
Rully,FiiO MAGCLIP Magnetice Bundling Kit for FiiO USB dongle KA17/KA13/KA5/KA3/KA2/KA1,Varian barang tidak ditemukan,Pelayanan gercep. Thx intium,5,1 minggu lalu
yoga,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Black,admin baik,5,1 minggu lalu
Aldyan,FiiO LS-4.4B 0.78mm 2 Pin 4.4mm Balanced Plug Earphone Upgrade Cable,Varian barang tidak ditemukan,"beli untuk fiio ff3s saya, ya gk terlalu pengaruh menurut sy impact nya
cuma jadi gk kaku aja materialnya seperti bawaannya dan saya kira ini ujungnya di ganti"", keny...",5,1 minggu lalu
Aldyan,DD ddHiFi TC28C Pro USB-C To USB-C OTG & Power Adapter,Varian barang tidak ditemukan,"uah berguna untuk make dongle tanpa ngurangin batre, tapi ngecas nya jadi lama betul, fast charging pun tidak terbaca jd ya yang penting batre gk ngurang",5,1 minggu lalu
Aldyan,DD ddHiFi TC01A / TC01C HiFi Quality USB-A to USB-C Adapter Converter,Varian: TC01A,"punya 2 2 nya, tapi kalau di gabung, gk bisa buat ngecas tapi otg tetap kebaca, jdi kalau mempunyai tujuan tsb urungkan niat yo, tp penampilan bagus jd ya sudah lah",5,1 minggu lalu
Aldyan,FiiO MAGCLIP Magnetice Bundling Kit for FiiO USB dongle KA17/KA13/KA5/KA3/KA2/KA1,Varian barang tidak ditemukan,"akhirnya aksesoris yang paling di tunggu kluar thanks( 9 ags 24)... update....., setelah pemakaian 1 minggu ternyata bisa copot juga lem nya 💔 , mungkin magnet nya terla...",4,1 minggu lalu
Aldyan,DD ddHiFi TC07S Nyx Series Silver Type-C to Type-C OTG Cable,Varian barang tidak ditemukan,"mantap kabel penampilan ter cakep dan suara juga lumayan lah, ada perubahan tipis""",5,1 minggu lalu
Rawal,FiiO MAGCLIP Magnetice Bundling Kit for FiiO USB dongle KA17/KA13/KA5/KA3/KA2/KA1,Varian barang tidak ditemukan,Barang bagus recomemded seller sukses terus buat seller…,5,1 minggu lalu
H***e,Moondrop CHU 2 / CHU II Dynamic Driver In Ear Monitor Earphone,Varian: CHU 2,"bagus design, suaranya jernih, pengiriman cepat",5,1 minggu lalu
Reynaldo,Moondrop Space Travel True Wireless TWS Earphone Bluetooth 5.3,Varian: White,"Barang sesuai, berfungsi normal, lebih enak dari kuroneko kalo buat saya pribadi

nambah 1 koleksi bulan saya 😬",5,2 minggu lalu
A***a,Moondrop MAY DSP Dynamic Driver + Planar Driver In-Ear Headphone,Varian barang tidak ditemukan,"packing rapih aman dan tebal, proses cepat pengiriman cepat mantap. barang juos",5,2 minggu lalu
Tedy,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Silver,"Buat harganya asik nih JA11 - yang baru beli WAJIB upgrade via laptop/windows gampang banget, per Agustus 2024 FW nya di 2.0 - Intium pelayanannya keren, sukses selalu....",5,2 minggu lalu
Tedy,FiiO LR-3.5A / LR 3.5A 3.5mm to RCA Audio Cable,Varian barang tidak ditemukan,"Intium pelayanannya keren, sukses selalu",5,2 minggu lalu
Ricky,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Black,"Barang diterima dalam keadaan baik dan aman, build bagus dan polished meskipun sangat sederhana, karakter suara neutral to bright, support CTIA / OMTP, killer featurenya...",5,2 minggu lalu
D***l,Moondrop Space Travel True Wireless TWS Earphone Bluetooth 5.3,Varian: Black,"pengiriman lama dan barang tidak ada kartu garansi, padahal udah minta",2,2 minggu lalu
K***n,DD ddHiFi DJ44MOJO / DJ44 MOJO Chord MOJO / MOJO2 decoder dedicated 4.4mm adapter,Varian barang tidak ditemukan,sesuai dengan deskripsi dan diterima dalam keadaan baik,5,2 minggu lalu
A***o,Fiio LS-TC1 Type C to 0.78 2pin DSP Earphone Cable Microphone,Varian barang tidak ditemukan,"Oke koq, suara ya standard aja, sesuai harga. Mic agak kecil sih suaranya.",5,2 minggu lalu
W***a,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Black,👍👍👍👍👍,5,2 minggu lalu
A***a,Moondrop CHU 2 / CHU II Dynamic Driver In Ear Monitor Earphone,Varian: CHU 2 DSP,"Barang aman, pengiriman cepat, seller ramah, sesuai dengan harganya. Tapi saran saya jangan beli untuk gaming (entah itu hp/laptop) karena kalau dspnya kepanasan bisa ken...",5,2 minggu lalu
Muhammad,Moondrop Space Travel True Wireless TWS Earphone Bluetooth 5.3,Varian: Black,Ramah dan Fast respon,5,2 minggu lalu
Mulyono,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Black,bgs,5,2 minggu lalu
Qori,TRUTHEAR GATE 10mm Single Dynamic Driver In Ear Monitor Earphone,Varian: Black with Mic,"bagus, sesuai dengan deskripsi",5,2 minggu lalu
M***d,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Black,"Pengiriman cepat, packing aman, kualitas oke bgt ini 🔥",5,2 minggu lalu
Wito,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Black,"sesuai deakripai, kecil kecil cabe rawit mantaaap, packing aman, kurir sesuai.",5,2 minggu lalu
A***f,Moondrop CHU 2 / CHU II Dynamic Driver In Ear Monitor Earphone,Varian: CHU 2,"packing sangat rapi dan aman 
pengiriman cepat

kualitas tidak di ragukan mantap pol",5,2 minggu lalu
AgusMar,DD ddHiFi MFi07S Nyx Series Silver USB-C To Lightning OTG Cable,Varian: 10 cm,"Produk bagus dan sesuai dengan iklan
Rekomended",5,3 minggu lalu
PopSky,DD ddHiFi DJ44MOJO / DJ44 MOJO Chord MOJO / MOJO2 decoder dedicated 4.4mm adapter,Varian barang tidak ditemukan,"Mojo jadi bisa langsung colok 4.4mm jack convenient sekali, kwalitas bagus gak berat juga, harga ok dibanding similar product",5,3 minggu lalu
r***y,iBasso Audio DC ELITE Flagship Dongle Miniaturized DX320MAX,Varian barang tidak ditemukan,"service toko inyium Terbaik, tercepat, packing nya super tebal bgt bibble nya berlapis. dan masih diberi lg lapisan  selain bubble. 

kukaitas suara, 10/10. ini udah leve...",5,3 minggu lalu
S***y,RUIZU M18 Portable MP3/MP4 Player With Recording Radio E-Book,Varian barang tidak ditemukan,"barang telah tiba, admin nya sangat responsif dan sangat membantu",5,3 minggu lalu
Dida,Moondrop CHU 2 / CHU II Dynamic Driver In Ear Monitor Earphone,Varian: CHU 2,"Asik, bass kureng but vocal jozz sekali. Dari pada antum beli tws-tws an mending beli ini wkwk",5,3 minggu lalu
Ricki,Moondrop Space Travel True Wireless TWS Earphone Bluetooth 5.3,Varian: Black,Sound quality jempolan untuk harganya 👍🏻,5,3 minggu lalu
Arif,DD ddHiFi C-100 / C100 Earphones Carrying Case,Varian barang tidak ditemukan,paket sdh di terima sesuai pesanan,5,3 minggu lalu
Irfanaces,TRUTHEAR GATE 10mm Single Dynamic Driver In Ear Monitor Earphone,Varian: White with Mic,"Barangnya bagus, suaranya lebih ke bass dan mic cukup menurut saya.. pouch nya juga praktis.. enak buat disimpan saku",5,3 minggu lalu
S***n,Moondrop Dawn Pro Portable USB DAC Amplifier,Varian barang tidak ditemukan,Setiap hari tercolok usb C di PC  tetap stabil  bagus dan tidak panas.,5,3 minggu lalu
yustinus,Cayin RU7 / RU-7 Portable USB DAC Dongle,Varian barang tidak ditemukan,Mantab bgt fast response fast kirim sangat amanah sellernya wkwkwkwk… gile dongle mantab abis buat harga segini terima kasih rekomendasinya…,5,3 minggu lalu
A***A,FiiO LS-4.4A 0.78mm 2 Pin 4.4mm Balanced Plug Earphone Upgrade Cable,Varian barang tidak ditemukan,Bagus n kompatibel dengan IEM saya sesuai saran admin. Fast response dan adminnya paham produk :),5,3 minggu lalu
A***A,DUNU dunu TALOS / Talos Planar Hybrid in ear Monitor Earphone,Varian barang tidak ditemukan,Pertama kali pakai IEM planar. Emang bener kata orang2 kalo rasanya beda. Pakai kabel balance n colok dac/amp biar makin mantap. Admin fast response n paham produk :),5,3 minggu lalu
W***s,MOONDROP LAN Beryllium-plated Dynamic Driver In Ear Monitor Earphone,Varian barang tidak ditemukan,"Underrated IEM. Karakter netral dan technical, clarity dan separasi bagus. Suara kurang berbody, bisa diperbaiki dengan ganti kabel dan eartips.",5,3 minggu lalu
W***s,DD ddHiFi TC09L USB-C to USB-C L-Shaped OTG Cable,Varian barang tidak ditemukan,"Improves clarity, instrument separation dan mengurangi noise level.",5,3 minggu lalu
Charlie,SMSL IQ HI-RES Portable headphone Amplifier USB DAC,Varian: Black,"Barangnya original 👍 Kualitas produk sangat baik Mudah digunakan barang lawas (port microUSB),tp review bagus. Pas dapat harga sale. Pengiriman cepat. Terima kasih byk.",5,3 minggu lalu
erick,iBasso Audio DC07PRO/ DC-07PRO / DC07 PRO Hi-Res USB DAC and Headphone Amplifier,Varian: Black,"suara yang diberikan sangat netral, tp menumpulkan yang tajam and bass di boost dikit. no white noise dan detailed (tentunya iem lebih berpengaruh dalam kualitas suara ya...",5,3 minggu lalu
Putut,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Silver,untuk keluar suara darin dongle Fiio Jade audio JA11 lumayan ada perbedaan dengan dibanding pakai 3.5 audio jack di ponsel & laptop. walau sebenarnya saat pengunaan a...,5,3 minggu lalu
Wito,Moondrop CHU 2 / CHU II Dynamic Driver In Ear Monitor Earphone,Varian: CHU 2,"sesuai deskrip, iem ke 2, suara lebih detail, bass sedang, overall mantaap, packing rapi, kurir satset.",5,3 minggu lalu
G***l,FiiO RM3 / RM-3 Bluetooth Remote Control For Fiio R Series,Varian barang tidak ditemukan,"Ternyata bisa digunakan via BT ke Acro CA1000T. 

Walau nga smua feature berfungsi 
tapi tombol back. Shutdown . Volume. Home. Next track. Previous Track. cursor bisa ber...",5,4 minggu lalu
e***o,RUIZU C1 Full Touch Screen portable MP3 Player,Varian barang tidak ditemukan,Suara yang dihasilkan jernih Garansi Resmi Barangnya original 👍 Produk berfungsi dengan baik Mudah digunakan,5,1 bulan lalu
F***z,Moondrop Space Travel True Wireless TWS Earphone Bluetooth 5.3,Varian: Black,Ulasan tidak ditemukan,5,1 bulan lalu
A***a,DD ddHIFI TC28i M2 Lightning Male to Type-C Female OTG Adapter,Varian barang tidak ditemukan,"barang ok, tp sekedar saran bagi yg perlu konektor lightning utk dac yg besar tp blm ada power sendiri sebaiknya beli yg tipe tc28i pro utk lightning dan tc28c pro utk ty...",5,1 bulan lalu
W***s,DD ddHiFi TC28C Pro USB-C To USB-C OTG & Power Adapter,Varian barang tidak ditemukan,Berfungsi dengan baik.,5,1 bulan lalu
I***l,DD ddHiFi TC01A / TC01C HiFi Quality USB-A to USB-C Adapter Converter,Varian: TC01A,"packing super mewah dan aman, pengiriman jg cepat, barang super, built quality sesuai harga, connect ke laptop atau audio jg mudah, KEREN!",5,1 bulan lalu
Gabriella,Moondrop MAY DSP Dynamic Driver + Planar Driver In-Ear Headphone,Varian barang tidak ditemukan,"mantul, mantab betul, kalo gorengan begini udah ga perlu di komen apa apa lagi ya gesyak, buat pemula IEM, di saranin beli doggle/DAC biar ga ha he ho pas pertama kali ma...",5,1 bulan lalu
Oppie,FiiO RM3 / RM-3 Bluetooth Remote Control For Fiio R Series,Varian barang tidak ditemukan,bagus..barang berfungsi dan bermanfaat buat R7,5,1 bulan lalu
Viqih,iBasso Audio DC ELITE Flagship Dongle Miniaturized DX320MAX,Varian barang tidak ditemukan,Kualitas produk sangat baik Barangnya original 👍 Mudah digunakan,5,1 bulan lalu
MUHIBBUDDIN,TRUTHEAR GATE 10mm Single Dynamic Driver In Ear Monitor Earphone,Varian: White No Mic,"Barangnya original 👍 Suaranya jernih Nyaman dipakai lama Material premium Kabelnya kuat Proses pesanan cepat, pengganti nya truther hola yang sempet pengen dicari cari k...",5,1 bulan lalu
S***y,FiiO LT-TC5 / LT TC5 USB Type-C to Type-C Digital Audio Cable,Varian barang tidak ditemukan,"respon seller bagus, pengiriman aman. hanya aja produk fiio ini tdk sesuai /berfungsi sperti apa yg saya mau.. kalau fungsional masih lebih ok ddhifi Menurut pendapat pri...",3,1 bulan lalu
N***i,FiiO KA11 / KA-11 / KA 11 Portable DAC & Headphone Amp in adapter,Varian: Type-C Black,"fiting agak kebesaran di telinga
suara lumayan",4,1 bulan lalu
Danny,FiiO BTR15 / BTR-15 Portable Bluetooth DAC and Headphone Amplifier,Varian: Blue,"impressi awal, naikin kualitas bass overall IEM, buat lebih meaty keseluruhan suaranya. detail ok, ga nyerang, cocok buat dipasangin ke IEM yg pedes. note: awal2 ada treb...",5,1 bulan lalu
Zekrom,Moondrop MAY DSP Dynamic Driver + Planar Driver In-Ear Headphone,Varian barang tidak ditemukan,"Packing mantap, experience unboxingnya dapet banget dah. Jujur karena mungkin ini IEM pertama, jadi pasangnya agak susah 😅 Tetapi semua perjuangan pasang eartips sama ka...",5,1 bulan lalu
Ady,Moondrop CHU 2 DSP / CHU II DSP Dynamic Driver In Ear Monitor Earphone,Varian barang tidak ditemukan,"Seller komunikatif, pengiriman cepat.. dan untuk barang nya value for money",5,1 bulan lalu
Noeadjie,Moondrop CHU 2 / CHU II Dynamic Driver In Ear Monitor Earphone,Varian: CHU 2 DSP,"barang bagus, suara mantap
pesan instant, ga sampai 3 j sudah sampai",5,1 bulan lalu
PT,RUIZU C1 Full Touch Screen portable MP3 Player,Varian barang tidak ditemukan,Produk berfungsi dengan baik Barangnya original 👍 Garansi Resmi Mudah digunakan Suara yang dihasilkan jernih,5,1 bulan lalu
GeiTzu,Moondrop CHU 2 / CHU II Dynamic Driver In Ear Monitor Earphone,Varian: CHU 2,cakep bgt,5,1 bulan lalu
surya,Hifiman Sundara Closed Back Planar Magnetic Headphone,Varian barang tidak ditemukan,Tinggal. Beli dac yang mantap aja,5,1 bulan lalu
Deni,"Ruizu M7 Bluetooth 5.0 MP3/MP4 Player Full HD 2.8"" Color Touch Screen",Varian barang tidak ditemukan,"Kulitas produk bagus, Anak saya senang sekali. 
sudah dapat case silicon nya juga.",5,1 bulan lalu
Arulu,Moondrop CHU 2 DSP / CHU II DSP Dynamic Driver In Ear Monitor Earphone,Varian barang tidak ditemukan,"Bagus buat dengerin 「可愛いくてごめん」👍 wkwk. tapi serius ini udah bagus (bagi saya yang awam) murah lagi. dapet pouch, eartips ada 3. sellernya sat set, barangnya aman.",5,1 bulan lalu
T***q,DD ddHiFi TC07S Nyx Series Silver Type-C to Type-C OTG Cable,Varian barang tidak ditemukan,Great product great seller great service,5,1 bulan lalu
W***s,DD ddHiFi TC07S Nyx Series Silver Type-C to Type-C OTG Cable,Varian barang tidak ditemukan,"Entah sugesti atau bukan, tapi suara menjadi terasa lebih berbody dan clarity jadi lebih baik. Kabelnya kaku, build quality premium. Pelayanan toko sangat baik dan pengir...",5,1 bulan lalu
W***s,DD ddHiFi TC44C USB-C / Lightning DAC Amp with 4.4mm & 3.5mm Outputs,Varian: USB-C,"Komparasi dengan iBasso DC03 Pro, TC44C ini punya karakter lebih bright. Clarity dan separasi menjadi lebih baik, treble extend dan lebih airy tanpa membuat sibilance. Se...",5,1 bulan lalu
Andika,Moondrop Space Travel True Wireless TWS Earphone Bluetooth 5.3,Varian: Black,"So damn good, love everything, especially the design. Packing aman, cepat, fitting cukup oke, suara balance. Thanks.",5,1 bulan lalu
H***m,Moondrop CHU 2 / CHU II Dynamic Driver In Ear Monitor Earphone,Varian: CHU 2 DSP,"packing aman, quality oke",5,1 bulan lalu
Muhammad,FiiO KA17 / KA-17 / KA 17 High End Dongle Amplifier w/Dual ES9069 DACs,Varian: Black,"Fiio KA17, datang dengan packaging yang rapi, barang juga bagus, sesuai deskripsi",5,1 bulan lalu
R***d,Moondrop CHU 2 / CHU II Dynamic Driver In Ear Monitor Earphone,Varian: CHU 2,Best Value IEM. Seller Ramah. Kapan2 mampir ya gan ke Storenya....,5,1 bulan lalu
J***n,LETSHUOER S08 / S-08 / S 08 13mm Planar Magnetic Driver Hi-Fi In-Ear Monitor Earphone with Detachable 2pins Silver-plated Copper Cable,Varian: Black,Barangnya original 👍 Ada garansi resmi Suaranya jernih Material premium,5,1 bulan lalu
B***u,LETSHUOER S08 / S-08 / S 08 13mm Planar Magnetic Driver Hi-Fi In-Ear Monitor Earphone with Detachable 2pins Silver-plated Copper Cable,Varian: Black,the best iem planar under 2jt 🤤,5,1 bulan lalu
Budi,SMSL SU-10 Dual ES9038PRO Desktop DAC Digital To Analog Converter,Varian barang tidak ditemukan,bagus..  seller nya top luar biasa..,5,1 bulan lalu
morris,FIIO LT-TC3 / LT TC3 / LT TC 3 USB Type C to USB Type C Data Cable,Varian barang tidak ditemukan,"Mantappp..kabelnya lentur, portnya juga presisi👍👍",5,1 bulan lalu
Dewa,FiiO KA11 / KA-11 / KA 11 Portable DAC & Headphone Amp in adapter,Varian: Type-C Black,usia semakin tua main game udah mulai ga ada rasa. dengar musik satu satunya hoby yang masih tersisa. suara indah fiio ka11 merdu jernih dan detail seperti membawa kenaga...,5,1 bulan lalu
W***s,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Black,Berfungsi dengan baik.,5,1 bulan lalu
C***s,Cayin RU7 / RU-7 Portable USB DAC Dongle,Varian barang tidak ditemukan,"Udah gaperlu banyak mikir, punya budget 4jtaan pengen beli dac yang bagus? ya RU7 inila jawabannya top markotop👍👍",5,1 bulan lalu
A***s,Moondrop Space Travel True Wireless TWS Earphone Bluetooth 5.3,Varian: Black,"packing aman, suara jernih dan jelas.",5,1 bulan lalu
A***g,"Ruizu M7 Bluetooth 5.0 MP3/MP4 Player Full HD 2.8"" Color Touch Screen",Varian barang tidak ditemukan,Barangnya bagus.. pertama agak bingung2 makainya.. tapi okelah,5,1 bulan lalu
Putra,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Black,"suara powerfull. vocal jadi lebih maju, lebih clear. mantap. belum otak atik dsp nya",5,1 bulan lalu
K***n,FiiO JT1 /JT-1 Hifi Dynamic Over Ear Headphone with Mic,Varian: Headphone,"Headset yg nyaman buat dengerin musik, film, dan gaming. Cukup pas di kuping, dan punya kabel (with mic), so utk meeting online jg bisa. Sound Quality jg bagus (di atas r...",5,1 bulan lalu
S***y,Moondrop Dawn Pro Portable USB DAC Amplifier,Varian barang tidak ditemukan,"barang sampe dgn aman , kalo bisa untuk kurir nya hrs teliti lagi pengantaran barangnya jgn sampe orang lain yg Terima . Terima kasih",5,1 bulan lalu
T***t,DD ddHiFi TC44C USB-C / Lightning DAC Amp with 4.4mm & 3.5mm Outputs,Varian: Lightning,Kualitas bahan bagus,5,1 bulan lalu
Laksamana,Moondrop Space Travel True Wireless TWS Earphone Bluetooth 5.3,Varian: White,"Joss , Cocok buat yang emang nda terlalu suka bass",5,1 bulan lalu
Achmad,Moondrop ARIA II / ARIA 2 LCP Diaphragm Driver In Ear Monitor Earphone,Varian barang tidak ditemukan,"barang aman, packing aman, seller responsif. 
mantap kali ini aria2 vokalnya sedap, sweet, airy😍",5,1 bulan lalu
W***s,DD ddHIFI TC28i M2 Lightning Male to Type-C Female OTG Adapter,Varian barang tidak ditemukan,Berfungsi baik dengan iBasso DC03 Pro dan iPhone 13 Mini. Tidak ada penurunan SQ.,5,1 bulan lalu
Adjie,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Black,"gokil sih ini item, build quality nya premium dan solid. Untuk suaranya natural dan ningkatin di seluruh sisi. sangat worth it dongle dac dikelas 200 bahkan 300, ini sih...",5,1 bulan lalu
Yayan,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Black,"Mantap, bisa disetting ekualiser sm max volume melalui aplikasinya tanpa terclose aplikasi music lain, dan support hires juga...",5,1 bulan lalu
A***o,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Black,Dongle gorengan baru ini mah. Pertama kali coba pakai yg dari fiio emang beda sih dari kompetitornya haha🤣,5,1 bulan lalu
W***n,FiiO LL-4.4A / LL 4.4A / LL4.4A High-Purity 4.4mm Balanced to Dual 3.5mm Headphone Cable,Varian barang tidak ditemukan,sudah di tes dan berfungsi dengan baik di hifiman sundara close back,5,1 bulan lalu
V***a,RUIZU D29 Bluetooth MP3 Player Portable Audio 8GB Support Radio FM,Varian barang tidak ditemukan,"respon seller ok banged, produk jg ok.",5,1 bulan lalu
R***n,Moondrop MC1 Multipurpose Microphone 3.5mm Upgrade Cable,Varian barang tidak ditemukan,"sip, akhirnya lepas dr dsp yg klo k hp susah bgt nyambungnya. hini lebih bsa d pake d semua device",5,1 bulan lalu
Arya,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Black,"Pesanan diterima dengan baik, packaging aman. Suara oke lebih ke arah neutral.. Rapi, soft,  sedikit lbh jernih dibanding TRN TE. dongle DAC yg mungil. Enak dibawa travel...",5,1 bulan lalu
Umar,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Black,First impression mantap. Suaranya lebih netral dan luas daripada sebagian DAC yang di atas harganya. Fitur PEQ terintegrasi bagi saya yang membuat FiiO JA11 ini wajib bel...,5,1 bulan lalu
N***l,iBasso Audio DC07PRO/ DC-07PRO / DC07 PRO Hi-Res USB DAC and Headphone Amplifier,Varian: Silver,"The DAC DC07 Pro dongle is a portable and easy-to-use device that greatly improves audio quality, delivering clear and detailed sound. Its robust construction ensures dur...",5,1 bulan lalu
F***l,iBasso Audio DX180 / DX-180 / DX 180 Digital Audio Player With A Superb Quad DAC Array,Varian: Black,Suara yang dihasilkan jernih Produk berfungsi dengan baik Garansi Resmi,5,1 bulan lalu
M,iBasso Audio DX180 / DX-180 / DX 180 Digital Audio Player With A Superb Quad DAC Array,Varian: Blue,"Barang mantep, sedikit lebih berat dari iPhone 15 Pro (230gr dengan casing silikonnya). Jack seret apalagi yang 4.4. Tenaganya bisa angkat santai HD580 150 ohm. Wifi lanc...",5,1 bulan lalu
